"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.593738200E-1,1.028913707E-1,1.555334777E-1,9.791728973E0,9.793504663E0
6.617807990E-1,1.124626622E-1,1.579262912E-1,9.808479309E0,9.810395248E0
6.641877780E-1,9.571290761E-2,1.674975902E-1,9.803693771E0,9.805591668E0
6.665947580E-1,1.004985496E-1,1.435693651E-1,9.808479309E0,9.810044775E0
6.690017370E-1,8.135596663E-2,1.435693651E-1,9.798908234E0,9.800297624E0
6.714087160E-1,9.810572863E-2,1.579262912E-1,9.808479309E0,9.810241170E0
6.738156950E-1,9.092725813E-2,1.411765367E-1,9.803693771E0,9.805131827E0
6.762226740E-1,8.135596663E-2,1.387837082E-1,9.801301003E0,9.802621132E0
6.786296530E-1,6.939185411E-2,1.579262912E-1,9.786943436E0,9.788463503E0
6.810366330E-1,8.853443712E-2,1.531406492E-1,9.796515465E0,9.798112352E0
6.834436120E-1,9.092725813E-2,1.627119333E-1,9.801301003E0,9.803073206E0
6.858505910E-1,9.332008660E-2,1.531406492E-1,9.825528145E0,9.827164597E0
6.882575700E-1,1.004985496E-1,1.579262912E-1,9.810872078E0,9.812657724E0
6.906646010E-1,9.810572863E-2,1.555334777E-1,9.796515465E0,9.798241202E0
6.930715810E-1,9.332008660E-2,1.579262912E-1,9.801301003E0,9.803017428E0
6.954785600E-1,8.374879509E-2,1.579262912E-1,9.810872078E0,9.812500472E0
6.978855390E-1,1.004985496E-1,1.459621787E-1,9.796515465E0,9.798118195E0
7.002925180E-1,9.092725813E-2,1.435693651E-1,9.786943436E0,9.788418756E0
7.026994970E-1,9.810572863E-2,1.483550072E-1,9.801301003E0,9.802914632E0
7.051064760E-1,9.092725813E-2,1.411765367E-1,9.803693771E0,9.805131827E0
7.075134560E-1,9.810572863E-2,1.483550072E-1,9.803693771E0,9.805307007E0
7.099204350E-1,9.332008660E-2,1.555334777E-1,9.810872078E0,9.812548610E0
7.123274140E-1,9.332008660E-2,1.579262912E-1,9.798908234E0,9.800625078E0
7.147343930E-1,9.810572863E-2,1.555334777E-1,9.794121742E0,9.795847901E0
7.171413720E-1,8.374879509E-2,1.555334777E-1,9.794121742E0,9.795714636E0
7.195483510E-1,8.135596663E-2,1.579262912E-1,9.801301003E0,9.802910835E0
7.219553830E-1,8.135596663E-2,1.746760458E-1,9.784550667E0,9.786447888E0
7.243623620E-1,8.135596663E-2,1.651047617E-1,9.794121742E0,9.795851116E0
7.267693410E-1,9.092725813E-2,1.507478207E-1,9.803693771E0,9.805274307E0
